Enrollment Profile,Social Mobility Rank,US News Ranking ,City,State,Year Established,enrollment,Public or Private,acceptance rate (%),Name of university ,R&D Expenditure ($000) in 2022,R&D Expenditure ($000) in 2021,Urban (1) /Suburban -rural  (0),Medical School (1),Law School (1),Campus size in acres,Population of the city,Population of state
High undergraduate,147,117,Tempe,AZ,,74795,Public,89.8,Arizona State University ,797224,677303,1,0,1,2006,185950,7.359 million 
High undergraduate,380,104,Auburn,AL,,30737,Public,43,Auburn University,304439,266374,0,1,1,1875,83015,7.359 million 
High undergraduate,297,79,Waco,TX,,15213,Private,45.9,Baylor University,66014,48809,1,1,1,1000,143984,30.03 million 
High undergraduate,108,79,Vestal,NY,,18148,Public,41.7,Binghamton University,130882,124565,0,0,0,930,28199,19.68 million 
Majority undergraduate,270,37,Chestnut Hill,MA,,15025,Private,16.7,Boston College,68958,65156,0,0,1,405,9.737,6.982 million 
Majority undergraduate,270,40,Boston,MA,,32718,Private,14,Boston University,725402,652096,1,1,1,140,650706,6.982 million 
Majority undergraduate,138,40,Waltham,MA,,3687,Private,39.4,Brandeis University,102378,95001,0,0,0,235,64065,6.982 million 
Majority undergraduate,224,14,Providence,RI,,7639,Private,5.1,Brown University,310780,276331,1,1,0,146,189563,1.094 million 
Majority graduate,345,12,Pasadena,CA,,982,Private,2.7,California Institute of Technology,478142,438624,0,0,0,124,134211,39.03 million 
Majority undergraduate,303,25,Pittsburgh,PA,,7509,Private,11.3,Carnegie Mellon University,449707,402376,1,0,0,157,302898,12.97 million 
Majority graduate,214,40,Cleveland,OH,,6017,Private,27.4,Case Western Reserve University,467389,421868,1,1,1,267,361607,11.76 million 
High undergraduate,348,70,Clemson,SC,,22566,Public,43,Clemson University,263158,237485,0,0,0,17000,17843,5.283 million 
High undergraduate,303,84,Golden,CO,,5733,Public,58,Colorado School of Mines,98404,81443,0,0,0,500,20460,5.84 million 
High undergraduate,234,166,Fort Collins,CO,,26062,Public,90.8,Colorado State University,456911,447197,1,1,0,4773,"169, 249",5.84 million 
Majority graduate,138,3,New York,NY,,8832,Private,4,Columbia University,1230924,1098570,1,1,1,36,8.336 million ,19.69 million
Majority undergraduate,224,17,Ithaca,NY,,15735,Private,7,Cornell University,1300357,1183524,0,1,1,745,32870,19.69 million
Majority undergraduate,303,12,Hanover,NH,,4458,Private,6.4,Dartmouth College,344126,330226,0,1,0,237,8234,1.395 million
Majority undergraduate,270,97,Philadelphia,PA,,12482,Private,79.6,Drexel University,151903,152752,1,1,1,96,1.567 million,12.97 million
Majority graduate,254,10,Durham,NC,,6640,Private,6.3,Duke University,1390538,1237686,1,1,1,8693,291928,10.7 million
Majority undergraduate,200,21,Atlanta,GA,,7101,Private,11.4,Emory University,958281,852922,0,1,1,631,499127,10.91 million
High undergraduate,12,218,Miami,FL,,45442,Public,63.9,Florida International University,281665,246075,1,1,1,344,449514,22.24 million
High undergraduate,80,57,Tallahassee,FL,,32936,Public,25,Florida State University,355986,328604,1,1,1,488,201731,22.24 million
High undergraduate,125,153,Fairfax,VA,,39049,Public,90,George Mason University,230068,214207,0,0,1,677,24835,8.684 million
Majority undergraduate,322,70,Washington,DC,,11482,Private,49,George Washington University,275483,266108,1,1,1,43,671803,671803
Majority graduate,241,24,Washington,DC,,7900,Private,12.2,Georgetown University,313220,279932,1,1,1,104,671.803,671803
Majority undergraduate,224,29,Atlanta,GA,,18415,Public,17.1,Georgia Institute of Technology,1231485,1114481,1,0,0,400,499127,10.91 million
High undergraduate,8,211,Atlanta,GA,,28927,Public,61,Georgia State University,215908,206472,1,0,1,110,499127,10.91 million
Majority graduate,186,2,Cambridge,MA,,7240,Private,3.2,Harvard University,1308458,1254008,1,1,1,5076,118488,6.982 million
High undergraduate,303,79,Bloomington,IN,,35660,Public,82.5,Indiana University-Bloomington,751309,695258,1,1,1,1953,79107,6.833 million
High undergraduate,270,121,Ames,IA,,29969,Public,90.2,Iowa State University,393184,360275,1,0,0,1813,66950,3.201 million
Majority graduate,241,10,Baltimore,MD,,6044,Private,7.3,Johns Hopkins University,3420312,3181385,1,1,0,140,569931,6.165 million 
High undergraduate,364,162,Manhattan,KS,,15046,Public,95.1,Kansas State University,212974,203846,1,0,0,664,53829,2.937 million
High undergraduate,204,211,Kent,OH,,20418,Public,88,Kent State University,52175,50408,0,1,0,953,27147,11.76 million
High undergraduate,345,153,Baton Rouge,LA,,39419,Public,75.7,Louisiana State University and Agricultural & Mechanical College,344556,296673,1,1,1,2000,221453,3.822 million 
Majority graduate,241,3,Cambridge,MA,,4657,Private,4,Massachusetts Institute of Technology,989166,949076,1,0,0,168,118488,6.982 million 
High undergraduate,241,84,East Lansing,MI,,39201,Public,88,Michigan State University,759229,710178,0,1,1,5192,47340,10.03 million
High undergraduate,335,211,Starkville ,MS,,18305,Public,75.2,Mississippi State University,303418,275143,0,0,0,4200,24168,2.94 million 
Very high undergraduate,254,246,Bozeman,MT,,16841,Public,73.3,Montana State University,200820,193577,0,1,0,956,56123,1.123 million
High undergraduate,42,97,Newark,NJ,,9019,Public,69.2,New Jersey Institute of Technology,167135,166587,1,0,0,48,305344,9.262 million
Majority undergraduate,115,29,New York,NY,,29401,Private,12.5,New York University,1276038,1063704,1,1,1,230,8.336 million ,19.68 million 
High undergraduate,224,84,Raleigh,NC,,37873,Public,47.2,North Carolina State University,583203,547118,1,0,0,2140,476587,10.7 million 
High undergraduate,354,281,Fargo,ND,,10096,Public,95.7,North Dakota State University,174904,164050,1,0,0,261,131444,779261
Majority undergraduate,254,40,Boston,MA,,16302,Private,6.8,Northeastern University,231607,211342,1,0,1,73,650706,6.982 million 
Majority graduate,251,9,Evanston,IL,,8659,Private,7.2,Northwestern University,1000695,913178,1,1,1,231,75544,12.58 million 
High undergraduate,254,54,Columbus,OH,,46123,Public,52.7,Ohio State University,1363388,1236111,1,1,1,1714,907971,11.76 million
High undergraduate,297,185,Athens,OH,,17860,Public,86.5,Ohio University,52465,49764,0,1,0,1800,20820,11.76 million 
High undergraduate,265,192,Stillwater,OK,,20801,Public,70.6,Oklahoma State University,195041,198799,0,1,0,1489,49160,4.02 million 
High undergraduate,147,263,Norfolk,VA,,18375,Public,95.1,Old Dominion University,64877,62332,1,0,0,251,232995,8.684 million 
High undergraduate,176,139,Corvallis,OR,,35000,Public,82.5,Oregon State University,297934,276955,1,0,0,422,60956,4.24 million 
Majority undergraduate,186,1,Princeton,NJ,,5604,Private,6,Princeton University,461185,404448,0,0,1,690,30377,9.262 million
High undergraduate,270,57,West Lafayette,IN,,37949,Public,53,Purdue University,754627,679482,1,1,1,2468,45060,6.833 million
High undergraduate,270,50,Troy,NY,,5895,Private,64.5,Rensselaer Polytechnic Institute,121809,119056,0,0,0,296,50895,19.68 million
Majority undergraduate,204,17,Houston,TX,,4494,Private,9,Rice University,216202,207404,1,0,0,300,2.303 million ,30.03 million 
High undergraduate,59,62,New Brunswick,NJ,,36344,Public,66.3,Rutgers University-New Brunswick,712231,643955,1,1,1,2656,55998,9.262 million
Majority graduate,241,6,Stanford,CA,,8049,Private,3.7,Stanford University,1384555,1274483,0,1,1,8180,17255,39.03 million
Majority undergraduate,24,91,Stony Brook,NY,,17509,Public,49.1,Stony Brook University,312698,274516,0,1,0,1454,12501,19.68 million
High undergraduate,27,147,Albany,NY,,12264,Public,67.9,University of Albany - SUNY,129796,114501,0,1,1,610,100826,19.68 million
Majority undergraduate,90,54,Syracuse,NY,,12264,Private,52,Syracuse University,157407,151717,1,0,1,721,144451,19.68 million
High undergraduate,105,104,Philadelphia,PA,,24106,Public,80,Temple University,301395,299778,1,1,1,406,1.567 million,12.97 million
High undergraduate,96,70,College Station,TX,,74829,Public,62.6,Texas A & M University,1152666,1147720,1,1,1,5200,124319,30.03 million 
High undergraduate,291,218,Lubbock,TX,,32579,Public,67.3,Texas Tech University,226729,197739,1,1,1,1839,263930,30.03 million 
High undergraduate,348,57,University Park,PA,,41745,Public,55.2,Pennsylvania State University,1019940,970544,0,1,1,7958,40745,12.97 million
High undergraduate,147,166,Tuscaloosa,AL,,38645,Public,80.1,University of Alabama ,163204,129509,0,0,1,1143,110602,5.074 million 
High undergraduate,165,254,Missoula,MT,,7215,Public,95,University of Montana,125603,121571,1,0,1,220,76955,1.123 million
High undergraduate,138,104,Knoxville,TN,,27039,Public,68.4,University of Tennessee-Knoxville,324435,316273,1,1,1,910,195889,7.051 million
