University,Rank,Endowment in thousands,University,Rank,Endowment in thousands,University,Rank,Endowment in thousands,University,Rank,Endowment in thousands,University,Rank,Endowment in thousands,,,,,,,,,,,
2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2023,2023,2023,,,,,,,,,,,
Harvard University (MA) ....................................................,1,"30,745,534",Harvard University (MA) ....................................................,1,"32,689,489",Harvard University (MA) ....................................................,1,"36,429,256",Harvard University (MA) ....................................................,1,"37,615,545",Harvard University,1,"49,495,108",,,,,,,,,,,
Yale University (CT) ....................................................,2,"19,264,289",University of Texas System Office ....................................................,2,"19,740,283",Yale University (CT) ....................................................,2,"23,858,561",Yale University (CT) ....................................................,2,"25,542,983",University of Texas System,2,"44,967,186",,,,,,,,,,,
University of Texas System Office ....................................................,3,"17,070,515",Yale University (CT) ....................................................,3,"20,708,793",University of Texas System Office ....................................................,3,"25,445,315",University of Texas System Office ....................................................,3,"22,548,856",Yale University,3,"40,746,900",,,,,,,,,,,
Princeton University (NJ) ....................................................,4,"17,404,002",Stanford University (CA) ....................................................,4,"18,688,868",Princeton University (NJ) ....................................................,4,"20,576,361",Stanford University (CA) ....................................................,4,"22,222,957",Stanford University,4,"36,495,000",,,,,,,,,,,
Stanford University (CA) ....................................................,5,"17,035,804",Princeton University (NJ) ....................................................,5,"18,786,132",Stanford University (CA) ....................................................,5,"21,466,006",Princeton University (NJ) ....................................................,5,"22,291,270",The Trustees of Princeton University,5,"34,058,774",,,,,,,,,,,
Massachusetts Institute of Technology ....................................................,6,"10,149,564",Massachusetts Institute of Technology ....................................................,6,"10,857,976",Massachusetts Institute of Technology ....................................................,6,"12,425,131",Massachusetts Institute of Technology ....................................................,6,"13,474,743",Massachusetts Institute of Technology,6,"23,453,446",,,,,,,,,,,
"University of Michigan, Ann Arbor ....................................................",7,"7,586,547","Texas A & M University, College Station ..............................................",7,"8,238,774",University of Pennsylvania ....................................................,7,"9,582,335",University of Pennsylvania ....................................................,7,"10,133,569",Trustees of the University of Pennsylvania,7,"20,962,965",,,,,,,,,,,
Columbia University in the City of New York (NY) ....................................................,8,"7,654,152","University of Michigan, Ann Arbor ....................................................",8,"8,272,366","University of Michigan, Ann Arbor ....................................................",8,"9,603,919","Texas A & M University, College Station ..............................................",8,"9,754,202",The Texas A&M University System & Related Foundations,8,"19,285,472",,,,,,,,,,,
"Texas A & M University, College Station ..............................................",9,"7,032,204",University of Pennsylvania ....................................................,9,"8,174,165","Texas A & M University, College Station ..............................................",9,"10,521,034","University of Michigan, Ann Arbor ....................................................",9,"9,809,705",University of Michigan,9,"17,875,691",,,,,,,,,,,
University of Pennsylvania ....................................................,10,"6,754,658",Columbia University in the City of New York (NY) ....................................................,10,"8,197,880",Columbia University in the City of New York (NY) ....................................................,10,"9,223,047",Columbia University in the City of New York (NY) ....................................................,10,"9,639,065",The Regents of the University of California,10,"17,689,324",,,,,,,,,,,
University of Notre Dame (IN) ....................................................,11,"6,444,599",University of Notre Dame (IN) ....................................................,11,"6,959,051",University of Notre Dame (IN) ....................................................,11,"8,189,096",University of Notre Dame (IN) ....................................................,11,"8,784,381",University of Notre Dame,11,"16,616,524",,,,,,,,,,,
University of California System Admin. Central Office ....................................................,12,"5,990,577",Northwestern University (IL) ....................................................,12,"6,283,130",Northwestern University (IL) ....................................................,12,"7,501,116",University of California System Admin. Central Office ....................................................,12,"6,950,190",Northwestern University,12,"13,699,895",,,,,,,,,,,
Northwestern University (IL) ....................................................,13,"5,574,319",University of California System Admin. Central Office ....................................................,13,"6,402,600",Duke University (NC) ....................................................,13,"7,036,776",Northwestern University (IL) ....................................................,13,"7,588,029",Trustees of Columbia University,13,"13,642,667",,,,,,,,,,,
Emory University (GA) ....................................................,14,"5,774,500",Duke University (NC) ....................................................,14,"6,040,973",University of California System Admin. Central Office ....................................................,14,"7,413,709",Emory University (GA) ....................................................,14,"6,787,163",Duke University,14,"13,237,963",,,,,,,,,,,
Duke University (NC) ....................................................,15,"5,555,196",Emory University (GA) ....................................................,15,"6,115,582",Washington University in St. Louis (MO) ....................................................,15,"6,719,449",Duke University (NC) ....................................................,15,"7,296,545",Washington University,15,"11,467,279",,,,,,,,,,,
University of Chicago (IL)....................................................,16,"5,701,419",Washington University in St. Louis (MO) ....................................................,16,"5,749,297",Emory University (GA) ....................................................,16,"6,981,308",Washington University in St. Louis (MO) ....................................................,16,"6,889,230",The Johns Hopkins University,16,"10,538,865",,,,,,,,,,,
Washington University in St. Louis (MO) ....................................................,17,"5,303,196",University of Chicago (IL) ....................................................,17,"5,886,968",University of Chicago (IL) ....................................................,17,"6,539,290",University of Chicago (IL) ....................................................,17,"6,553,571",Emory University,17,"10,239,776",,,,,,,,,,,
"University of Virginia, Main Campus ....................................................",18,"4,734,895","University of Virginia, Main Campus ....................................................",18,"5,106,876","University of Virginia, Main Campus ....................................................",18,"5,876,310","University of Virginia, Main Campus ....................................................",18,"6,098,997",Cornell University,18,"10,035,558",,,,,,,,,,,
Rice University (TX) ....................................................,19,"4,448,069",Rice University (TX) ....................................................,19,"4,895,299",Rice University (TX) ....................................................,19,"5,553,717",Rice University (TX) ....................................................,19,"5,573,038",The University of Chicago,19,"9,869,725",,,,,,,,,,,
Cornell University (NY) ....................................................,20,"3,850,426",Cornell University (NY) ....................................................,20,"4,133,842",Cornell University (NY) ....................................................,20,"4,646,134",University of Southern California ....................................................,20,"4,709,511",University of Virginia,20,"9,799,870",,,,,,,,,,,
University of Southern California ....................................................,21,"3,488,933",University of Southern California ....................................................,21,"3,868,355",University of Southern California ....................................................,21,"4,593,014",Cornell University (NY) ....................................................,21,"4,760,560",Vanderbilt University,21,"9,684,196",,,,,,,,,,,
Dartmouth College (NH) ....................................................,22,"3,486,383",Dartmouth College (NH) ....................................................,22,"3,733,596",Dartmouth College (NH) ....................................................,22,"4,468,220",Dartmouth College (NH) ....................................................,22,"4,663,491",Dartmouth College,22,"7,930,125",,,,,,,,,,,
Vanderbilt University (TN) ..............................................,23,"3,360,036",Vanderbilt University (TN) ..............................................,23,"3,635,343",Vanderbilt University (TN) ..............................................,23,"4,046,250",Vanderbilt University (TN) ..............................................,23,"4,093,388",University of Southern California,23,"7,463,051",,,,,,,,,,,
"Ohio State University, Main Campus ....................................................",24,"2,348,193","Ohio State University, Main Campus ....................................................",24,"3,130,942","Ohio State University, Main Campus ....................................................",24,"3,595,323","Ohio State University, Main Campus ....................................................",24,"3,640,909",The Ohio State University,24,"7,383,676",,,,,,,,,,,
University of Texas at Austin ....................................................,25,"2,861,389","University of Pittsburgh, Pittsburgh Campus (PA) ....................................................",25,"2,956,739","University of Pittsburgh, Pittsburgh Campus (PA) ....................................................",25,"3,470,665",New York University ..............................................,25,"3,475,939",Rice Management Company,25,"7,240,020",,,,,,,,,,,
New York University ..............................................,26,"2,800,399",New York University ..............................................,26,"2,980,027",University of Texas at Austin ....................................................,26,"3,376,824","University of Pittsburgh, Pittsburgh Campus (PA) ....................................................",26,"3,565,684",Brown University,26,"6,201,434",,,,,,,,,,,
"University of Pittsburgh, Pittsburgh Campus (PA) ....................................................",27,"2,600,314",Johns Hopkins University (MD) ....................................................,27,"2,918,546",Johns Hopkins University (MD) ....................................................,27,"3,392,529",University of Texas at Austin ....................................................,27,"3,341,836",New York University,27,"5,877,433",,,,,,,,,,,
Johns Hopkins University (MD) ....................................................,28,"2,593,316",University of Texas at Austin ....................................................,28,"3,012,895","University of Wisconsin, Madison ....................................................",28,"3,133,197",Johns Hopkins University (MD) ....................................................,28,"3,326,932",University of Minnesota & Foundation,28,"5,501,497",,,,,,,,,,,
Brown University (RI) ....................................................,29,"2,525,091","University of Wisconsin, Madison ....................................................",29,"2,295,273","University of Washington, Seattle Campus ....................................................",29,"2,915,058","University of Minnesota, Twin Cities ....................................................",29,"3,113,770",University of Pittsburgh,29,"5,489,296",,,,,,,,,,,
"University of Minnesota, Twin Cities ....................................................",30,"2,365,693",Brown University (RI) ....................................................,30,"2,669,948","University of Minnesota, Twin Cities ....................................................",30,"2,992,707","University of Wisconsin, Madison ....................................................",30,"3,288,911",University of North Carolina at Chapel Hill and Foundations,30,"5,200,812",,,,,,,,,,,
"University of Washington, Seattle Campus ....................................................",31,"2,206,040","University of Minnesota, Twin Cities ....................................................",31,"2,610,544",Brown University (RI) ....................................................,31,"2,999,749","University of Washington, Seattle Campus ....................................................",31,"3,148,084",University of Washington,31,"4,940,534",,,,,,,,,,,
University of North Carolina at Chapel Hill ....................................................,32,"2,157,237","University of Washington, Seattle Campus ....................................................",32,"2,432,421",University of North Carolina at Chapel Hill ....................................................,32,"2,659,759",Brown University (RI) ....................................................,32,"3,073,349",The Pennsylvania State University,32,"4,443,874",,,,,,,,,,,
"University of Wisconsin, Madison ....................................................",33,"2,068,495",University of North Carolina at Chapel Hill ....................................................,33,"2,344,280",Michigan State University ....................................................,33,"2,549,137",University of North Carolina at Chapel Hill ....................................................,33,"3,029,044",Michigan State University,33,"4,054,000",,,,,,,,,,,
"Purdue University, Main Campus (IN) ....................................................",34,"1,861,079",Michigan State University ....................................................,34,"2,007,498","Pennsylvania State University, Main Campus ....................................................",34,"2,264,414",Michigan State University ....................................................,34,"2,671,411",Carnegie Mellon University+,34,"3,888,140",,,,,,,,,,,
University of Richmond (VA) ....................................................,35,"1,868,910","Purdue University, Main Campus (IN) ....................................................",35,"2,189,202","Purdue University, Main Campus (IN) ....................................................",35,"2,445,542","Pennsylvania State University, Main Campus ....................................................",35,"2,395,857",UCLA Foundation,35,"3,873,061",,,,,,,,,,,
Michigan State University ....................................................,36,"1,760,708",University of Richmond (VA) ....................................................,36,"2,025,996",University of Richmond (VA) ....................................................,36,"2,313,305","Purdue University, Main Campus (IN) ....................................................",36,"2,392,725",University of Wisconsin Foundation,36,"3,838,022",,,,,,,,,,,
