,Name of university ,Endowment in 2016,Endowment in 2023,Endowment in 2022
1,Princeton University,22291270,34058774,35794186
2,Massachusetts Institute of Technology,13474743,23453446,24739862
3,Harvard University,37615545,49495108,49444494
4,Stanford University,22222957,36495000,36339000
5,Yale University,25542983,40746900,41383300
6,University of Pennsylvania,10133569,20962965,20724351
7,California Institute of Technology,2078954,3665200,3635000
8,Duke University,7296545,13237963,12116260
9,Brown University,3073349,6201434,6141243
10,Johns Hopkins University,3326932,10538865,8244472
11,Northwestern University,7588029,13699895,14121488
12,Columbia University,9639065,13642667,13279846
13,Cornell University,4760560,10035558,9838198
14,University of Chicago,6553571,9869725,9914748
15,"University of California, Berkeley",1834400,2914883,2648100
16,"University of California, Los Angeles",2328472,2359984,3161977
17,Rice University,5573038,7240020,7291204
18,Dartmouth College,4663491,7930125,8065743
19,Vanderbilt University,4093388,9684196,10206067
20,University of Notre Dame,8784381,16616524,16729299
21,University of Michigan--Ann Arbor,9809705,17875691,17347188
22,Georgetown University,1528869,3298969,3210032
23,University of North Carolina at Chapel Hill,3029044,5200812,5317821
24,Carnegie Mellon University,1318050,3888140,3856808
25,Emory University,6787163,10239776,9997742
26,University of Virginia,6098997,9799870,9858442
27,Washington University in St. Louis,6889230,11467279,12252329
28,"University of California, Davis",324000,678042,634164
29,"University of California, San Diego",536000,1360837,1182890
30,University of Florida,1556155,2337110,2275517
31,University of Southern California,4709511,7463051,7319123
32,University of Texas at Austin,3341836,6018160,4694068
33,Georgia Institute of Technology,1858977,2947317,2927742
34,"University of California, Irvine",324000,795885,723965
35,New York University,3475939,5877433,5148741
36,"University of California, Santa Barbara",155000,578757,539242
37,University of Illinois Urbana-Champaign,1308415,2730000,2510000
38,University of Wisconsin--Madison,3288911,3838022,3496791
39,Boston College,2258601,3461100,3336600
40,Rutgers University--New Brunswick,710802,1987686,1862823
41,Tufts University,1593019,2405498,2350755
42,University of Washington,3148084,4940534,4678009
43,Boston University,1644117,3128719,2980503
44,The Ohio State University,3640909,7383676,6960782
45,Purdue University,2392725,3793601,3675960
46,"University of Maryland, College Park",1436654,2095331,1964981
47,Lehigh University,1213207,1756174,1679807
48,Texas A&M University,975420,19285472,18243191
49,University of Georgia,1004987,1810872,1685035
50,University of Rochester,2050199,2822698,2739187
